######################## Logger for Validator: v1 ######################## 

[INFO]: 2021-10-18 03:47:34   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:34   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 03:47:36   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1 Client c1 Authentication Successful ]
######################## Logger for Validator: v1 ######################## 

[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:37   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1 adding transaction: c1 - 1 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:39   		 [ Validator: v1 adding commit for transaction: ['c1 - 0'] ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 adding transaction: c1 - 2 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 adding commit for transaction: ['c1 - 1'] ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:47:41   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1 adding transaction: c1 - 3 ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:43   		 [ Validator: v1 adding commit for transaction: ['c1 - 2'] ]
[INFO]: 2021-10-18 03:47:45   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:45   		 [ Validator: v1 adding transaction: c1 - 4 ]
[INFO]: 2021-10-18 03:47:45   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:45   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v3 ]
[INFO]: 2021-10-18 03:47:45   		 [ Validator: v1 adding commit for transaction: ['c1 - 3'] ]
[INFO]: 2021-10-18 03:47:47   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:47   		 [ Validator: v1 adding transaction: c1 - 5 ]
[INFO]: 2021-10-18 03:47:47   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:47   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:47   		 [ Validator: v1 adding commit for transaction: ['c1 - 4'] ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 adding transaction: c1 - 6 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 adding commit for transaction: ['c1 - 5'] ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:47:49   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1 adding transaction: c1 - 7 ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:47:51   		 [ Validator: v1 adding commit for transaction: ['c1 - 6'] ]
[INFO]: 2021-10-18 03:47:53   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:53   		 [ Validator: v1 adding transaction: c1 - 8 ]
[INFO]: 2021-10-18 03:47:53   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:53   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v3 ]
[INFO]: 2021-10-18 03:47:53   		 [ Validator: v1 adding commit for transaction: ['c1 - 7'] ]
[INFO]: 2021-10-18 03:47:55   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:55   		 [ Validator: v1 adding transaction: c1 - 9 ]
[INFO]: 2021-10-18 03:47:55   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:47:55   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:47:55   		 [ Validator: v1 adding commit for transaction: ['c1 - 8'] ]
[INFO]: 2021-10-18 03:47:57   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:58   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:58   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:59   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:47:59   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:00   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:00   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:01   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:01   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 adding transaction: c1 - 9 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 adding commit for transaction: ['c1 - 9'] ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:48:02   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:03   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:03   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:04   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:04   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:05   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:06   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:06   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:07   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:07   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:08   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:08   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:09   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:09   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:10   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:10   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:11   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:11   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:12   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:12   		 [ Validator: v1 Client c1 Authentication Successful ]
######################## Logger for Validator: v1 ######################## 

[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 adding transaction: c2 - 0 ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 Client c3 Authentication Successful ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 adding transaction: c3 - 0 ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:48:13   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v2 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding transaction: c2 - 0 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c3 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding transaction: c3 - 0 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v4 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding commit for transaction: ['c2 - 0'] ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c1 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding transaction: c1 - 0 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 Client c3 Authentication Successful ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding transaction: c3 - 0 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1created Votemsg :  ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 sending VOTE_MESSAGE  to the leader: v1 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 received Proper Vote Msg from the validator: v1 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 received Proper Vote Msg from the validator: v2 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 received Proper Vote Msg from the validator: v3 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 adding commit for transaction: ['c1 - 0', 'c3 - 0'] ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 received Proper Vote Msg from the validator: v4 ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 created QC message ]
[INFO]: 2021-10-18 03:48:15   		 [ Validator: v1 sending Proposal message to other validators for empty new round ]
[INFO]: 2021-10-18 03:48:16   		 [ Validator: v1 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 03:48:16   		 [ Validator: v1 Client c3 Authentication Successful ]
[INFO]: 2021-10-18 03:48:16   		 [ Validator: v1 Client c1 Authentication Successful ]
######################## Logger for Validator: v1 ######################## 

[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 Client c3 Authentication Successful ]
[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 adding transaction: c3 - 0 ]
[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 sending Proposal message to every other validators ]
[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 Client c2 Authentication Successful ]
[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 adding transaction: c2 - 0 ]
[INFO]: 2021-10-18 03:48:17   		 [ Validator: v1 sending Proposal message to every other validators ]
